1,Modified Revolvers,Modified rifle,Reason,Shotgun,State1,Age Of Shooter,Case,Date,Fatalities,Gender,Injured,Latitude,Location 1,Location,Longitude,Mental Health Details,Mental Health Sources,modified handgun weapon,Prior Signs Mental Health Issues,Race,Sources,Sources Additional Age,Summary,Total Victims,Type,Weapon Details,Weapon Type,Weapons Obtained Legally,Where Obtained,Year
1,FALSE,FALSE,Anti woman,FALSE,Illinois,32,Mercy Hospital shooting,19-Nov-18,3,Male,0,41.847667,Workplace,Chicago,-87.622009,-,-,TRUE,Unclear,Latino,https://www.cnn.com/2018/11/19/us/mercy-hospital-chicago-shooting/index.html; https://www.chicagotribune.com/news/local/breaking/ct-met-shooting-mercy-hospital-chicago-20181119-story.html; https://6abc.com/chicago-shooting-4-dead-including-officer-gunman/4720955/; https://chicago.cbslocal.com/2018/11/19/mercy-hospital-gunman-officer-killed; https://abc7ny.com/mercy-hospital-chicago-shooting-4-dead-including-officer-gunman/4720765/; https://abc7chicago.com/mercy-hospital-gunman-what-we-know/4725117/,-,"Juan Lopez, 32, confronted his former fiancÃ©, ER doctor Tamara O'Neal, before shooting her and opening fire on others at the hospital, including a responding police officer, Samuel Jimenez, and a pharmacy employee, Dayna Less. Lopez was fatally shot by a responding SWAT officer. Lopez had a history of domestic abuse against an ex-wife, and was kicked out of a fire department training academy for misconduct against female cadets.",3,Mass,9mm handgun,semiautomatic handgun,-,-,2018
1,FALSE,FALSE,military pressure,FALSE,California,28,Thousand Oaks nightclub shooting,11-Jul-18,12,Male,22,34.176946,Other,Thousand Oaks,-118.874793,"Per the LATimes: ""Sheriff Geoff Dean said his department had had several interactions with Long, including a call to his home in April for a complaint of disturbing the peace. Deputies at the time said Long was irate and acting irrationally, Dean said. They called in mental health professionals to evaluate him, and they concluded he did not need to be taken into custody.""",http://www.latimes.com/local/lanow/la-me-ln-thousand-oaks-20181107-story.html,TRUE,Yes,-,http://www.latimes.com/local/lanow/la-me-ln-thousand-oaks-20181107-story.html; https://www.washingtonpost.com/nation/2018/11/08/multiple-injuries-reported-bar-shooting-thousand-oaks-calif/; https://www.nytimes.com/2018/11/08/us/shooting-california-thousand-oaks.html; https://www.nytimes.com/2018/11/08/us/ian-david-long-california-shooter.html; https://www.wsj.com/articles/multiple-injuries-reported-in-bar-shooting-in-thousand-oaks-california-1541666907,-,"Ian David Long, 28, dressed in black and armed with a handgun and a â€œsmoke device,â€ approached the Borderline Bar & Grill â€” a country music venue popular with college students â€” close to midnight and opened fire, killing a security guard and then others in the club, including a sheriffâ€™s deputy responding to the attack. Long was found dead at the scene from apparent suicide. He was a former Marine and had a history of interactions with local law enforcement, including a mental health evaluation in which heâ€™d been cleared.",34,Mass,"Glock 21, .45 caliber; high-capacity magazine",semiautomatic handgun,Yes,A gun store in Simi Valley,2018
1,FALSE,Rifle,Divorce,FALSE,Pennsylvania,46,Tree of Life synagogue shooting,27-Oct-18,11,Male,6,40.443898,Religious,Pittsburgh,-79.921398,-,-,TRUE,Unclear,White,https://www.nytimes.com/2018/10/27/us/active-shooter-pittsburgh-synagogue-shooting.html; https://www.cnn.com/us/live-news/pittsburgh-synagogue-shooting/h_0c180f52c8d032fd47eef570cc5065c2; https://www.nytimes.com/2018/10/30/us/ar15-gun-pittsburgh-shooting.html,-,"Robert D. Bowers, 46, shouted anti-Semitic slurs as he opened fire inside the Tree of Life synagogue during Saturday morning worship. He was armed with an assault rifle and multiple handguns and was apprehended after a standoff with police. His social media accounts contained virulent anti-Semitic content, and references to migrant caravan ""invaders"" hyped by President Trump and the Republican party ahead of the 2018 midterms elections.",17,Mass,AR-15; Glock .357 (3),semiautomatic rifle & semiautomatic handgun,Yes,"(Unclear; investigators confirmed he owned 10 guns in total, all purchased and possessed legally, and had a handgun license)",2018
1,FALSE,FALSE,military pressure,FALSE,Maryland,26,Rite Aid warehouse shooting,20-Sep-18,3,Female,3,39.455658,Workplace,Perryman,-76.208485,-,-,TRUE,Unclear,Black,http://www.baltimoresun.com/news/maryland/crime/bs-md-harford-shooting-20180920-story.html; https://www.washingtonpost.com/local/public-safety/maryland-sheriffs-office-says-multiple-victims-in-shooting/2018/09/20/9d2c6464-bcda-11e8-be70-52bd11fe18af_story.html; https://www.cnn.com/2018/09/20/us/maryland-shooting/index.html; https://heavy.com/news/2018/09/snochia-moseley/,-,"Snochia Moseley, 26, reportedly a disgruntled employee, shot her victims outside the building and on the warehouse floor; she later died from a self-inflicted gunshot at a nearby hospital. (No law enforcement officers responding to her attack fired shots.)",6,Mass,Glock 9 mm,semiautomatic handgun,Yes,-,2018
1,FALSE,FALSE,Divorce,FALSE,California,54,T&T Trucking shooting,09-Dec-18,5,Male,0,35.349388,Workplace,Bakersfield,-118.916335,-,-,TRUE,Unclear,Latino,http://www.latimes.com/local/lanow/la-me-bakersfield-mass-shooting-20180914-story.html; https://www.cnn.com/2018/09/13/us/california-shootings-multiple-dead/index.html; https://www.bakersfield.com/ex-wife-in-mass-shooting-had-just-filed-for-child/article_8d7510c2-bc38-11e8-bc73-c3793e2ec681.html,-,"Javier Casarez, 54, who was going through a bitter divorce, went on a shooting spree targeting his ex-wife and former coworkers at the trucking company. His attack included fatally shooting one victim who he pursued to a nearby sporting goods retailer, and two others at a private residence. After then carjacking a woman who was driving with a child (and letting the two go), Casarez fatally shot himself as law enforcement officials closed in on him.",5,Spree,Smith & Wesson Model 500 (.50-caliber revolver),Handgun,Yes,-,2018
1,FALSE,FALSE,religious radicalism,FALSE,Ohio,29,Fifth Third Center shooting,09-Jun-18,3,Male,2,39.101981,Workplace,Cincinnati,-84.511782,"Perez filed a ""delusional"" lawsuit in 2017 against CNBC and TD Ameritrade; the federal judge who threw out the case said Perez's allegations were ""rambling, difficult to decpipher and borders on delusional.""",-,TRUE,Yes,Latino,https://www.cnn.com/2018/09/07/us/cincinnati-shooting/index.html; https://www.cincinnati.com/story/news/crime/crime-and-courts/2018/09/06/omar-santa-perez-cincinnati-shooter-filed-lawsuit-against-cnbc/1217643002/; https://www.cincinnati.com/story/news/2018/09/07/cincinnati-shooting-what-we-know-suspect/1221725002/; https://www.cincinnati.com/story/news/2018/09/06/cincinnati-shooting-suspect-arrested-south-carolina-2014/1218729002/; https://www.cincinnati.com/story/news/crime/2018/09/07/why-cincinnati-shooter-allowed-have-gun/1221091002/,-,"Omar Enrique Santa Perez, 29, walked into the ground-floor lobby of a building in downtown Cincinnati shortly after 9 a.m. and opened fire. Within minutes, Perez was fatally wounded in a shootout with law enforcement officers responding to the scene.",5,Mass,9mm handgun,semiautomatic handgun,Yes,A local gun store,2018
1,FALSE,FALSE,Job,TRUE,Maryland,38,Capital Gazette shooting,28-Jun-18,5,Male,2,38.994548,Workplace,Annapolis,-76.543657,-,-,FALSE,Unclear,White,http://www.capitalgazette.com/news/annapolis/bs-md-gazette-shooting-20180628-story.html; http://www.capitalgazette.com/news/for_the_record/bs-md-ramos-charges-20180629-story.html; https://www.nytimes.com/2018/06/28/us/capital-gazette-annapolis-shooting.html; https://www.washingtonpost.com/local/public-safety/heavy-police-activity-reported-around-capital-gazette-newsroom-in-annapolis/2018/06/28/32e0123e-7b05-11e8-93cc-6d3beccdd7a3_story.html?utm_term=.e8fb121510f7; https://www.washingtonpost.com/local/public-safety/five-dead-in-shooting-at-capital-gazette-paper-suspect-in-custody/2018/06/29/374b0292-7b7e-11e8-aeee-4d04c8ac6158_story.html,-,"Jarrod W. Ramos, 38, shot through the glass doors of the paperâ€™s newsroom around 3pm to carry out his attack; police quickly responding to the scene found him hiding under a desk and apprehended him. Ramos had harbored a longstanding grudge against the paper over a 2011 column that had detailed his guilty plea for the harassment of a former female classmate. Ramos had sued the paper for defamation and lost.",7,Mass,12-gauge pump-action shotgun,shotgun,Yes,-,2018
1,FALSE,FALSE,Hate Crime,TRUE,Texas,17,Santa Fe High School shooting,18-May-18,10,Male,13,29.392825,School,Santa Fe,-95.141972,-,-,FALSE,Unclear,White,https://www.chron.com/news/houston-texas/article/Shots-fired-at-Santa-Fe-High-School-12925050.php; https://www.nytimes.com/2018/05/18/us/school-shooting-santa-fe-texas.html; https://www.aol.com/article/news/2018/05/21/suspected-texas-gunman-studied-previous-mass-shootings-report/23439884/,https://www.chron.com/news/houston-texas/article/Shots-fired-at-Santa-Fe-High-School-12925050.php; https://www.nytimes.com/2018/05/18/us/school-shooting-santa-fe-texas.html; https://www.aol.com/article/news/2018/05/21/suspected-texas-gunman-studied-previous-mass-shootings-report/23439884/,"Dimitrios Pagourtzis, a 17-year-old student, opened fire at Santa Fe High School with a shotgun and .38 revolver owned by his father; Pagourtzis killed 10 and injured at least 13 others before surrendering to authorities after a standoff and additional gunfire inside the school. (Pagourtzis reportedly had intended to commit suicide.) Investigators also found undetonated explosive devices in the vicinity. (FURTHER DETAILS PENDING.)",23,Mass,-,shotgun,TBD,Father's weapons,2018
1,FALSE,Rifle,Psychic,FALSE,Tennessee,29,Waffle House shooting,22-Apr-18,4,Male,4,36.052521,Other,Nashville,-86.616944,"Reinking had a history of erratic behavior and run-ins with law enforcement in his home state of Illinois, including claims that he was being stalked and harassed by pop star Taylor Swift. In July 2017, he was arrested at the White House after breaching security in an effort to speak with President Trump, reportedly claiming his right to do so as â€œa sovereign citizen.â€",https://www.buzzfeed.com/briannasacks/this-is-what-we-know-about-the-suspected-waffle-house-gunman?utm_term=.ilj2Knad6#.lklzyb3vj,FALSE,Yes,White,https://www.washingtonpost.com/news/post-nation/wp/2018/04/23/waffle-house-shooting-travis-reinking-manhunt-continues-nashville-police-say/?utm_term=.69579db5fdc6; https://www.tennessean.com/story/news/2018/04/23/waffle-house-shooting-travis-reinking-search-continues-antioch-nashville/541313002/; https://www.nytimes.com/2018/04/23/us/waffle-house-shooting-nashville.html; https://www.buzzfeed.com/briannasacks/this-is-what-we-know-about-the-suspected-waffle-house-gunman?utm_term=.ilj2Knad6#.lklzyb3vj; http://www.wkrn.com/news/manhunt-continues-for-gunman-who-killed-4-at-antioch-waffle-house/1134986998,https://www.washingtonpost.com/news/post-nation/wp/2018/04/23/waffle-house-shooting-travis-reinking-manhunt-continues-nashville-police-say/?utm_term=.69579db5fdc6; https://www.tennessean.com/story/news/2018/04/23/waffle-house-shooting-travis-reinking-search-continues-antioch-nashville/541313002/; https://www.nytimes.com/2018/04/23/us/waffle-house-shooting-nashville.html; https://www.buzzfeed.com/briannasacks/this-is-what-we-know-about-the-suspected-waffle-house-gunman?utm_term=.ilj2Knad6#.lklzyb3vj; http://www.wkrn.com/news/manhunt-continues-for-gunman-who-killed-4-at-antioch-waffle-house/1134986998,"Travis Reinking, 29, opened fire around 3:30 a.m. in the parking lot of a Waffle House in Antioch, and continued shooting as he entered the restaurant. As he attempted to reload his AR-15, a bystander heroically wrestled the rifle away from Reinking, who then fled; he was captured by authorities the following day. Reinking had a history of erratic behavior and run-ins with law enforcement in his home state of Illinois, including claims that he was being stalked and harassed by pop star Taylor Swift. In July 2017, he was arrested at the White House after breaching security in an effort to speak with President Trump, reportedly claiming his right to do so as â€œa sovereign citizen.â€ ",8,Mass,AR-15,semiautomatic rifle,Yes,Family member,2018
1,FALSE,Rifle,military pressure,TRUE,California,36,Yountville veterans home shooting,03-Sep-18,3,Male,0,38.392496,Workplace,Yountville,-122.366528,Wong had served in Afghanistan and had a history of PTSD.,https://www.cnn.com/2018/03/10/us/california-veterans-home-shooting/index.html,FALSE,Yes,Asian,https://www.cnn.com/2018/03/10/us/california-veterans-home-shooting/index.html; http://www.ktvu.com/news/gunman-in-yountville-veterans-home-killings-was-ex-patient; https://www.washingtonpost.com/news/post-nation/wp/2018/03/09/police-respond-to-reports-of-gunfire-and-hostages-taken-at-california-veterans-home/?utm_term=.b9dde7ac5f0f,https://www.cnn.com/2018/03/10/us/california-veterans-home-shooting/index.html; http://www.ktvu.com/news/gunman-in-yountville-veterans-home-killings-was-ex-patient; https://www.washingtonpost.com/news/post-nation/wp/2018/03/09/police-respond-to-reports-of-gunfire-and-hostages-taken-at-california-veterans-home/?utm_term=.b9dde7ac5f0f,"Army veteran Albert Cheung Wong, 36, stormed a veterans home where he was previously under care, exchanging gunfire with a sheriffâ€™s deputy and taking three women hostage, one of whom heâ€™d previously threatened. After a standoff with law enforcement, he killed the three women and himself.",3,Mass,-,semiautomatic rifle & shotgun,Yes,TBD,2018
